a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.3,8.5,59.5,-37.38058244762942,-4.548261506250128,-7.071014858782291,2,Done,BTBT_theta=59.5_a=6.3_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.0,60.5,-30.007515650242567,-10.63182035391219,-2.185968735604547,1,Done,BTBT_theta=60.5_a=12.9_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.2,59.0,-40.40750243421644,-5.16853631590493,-7.517607450601645,2,Done,BTBT_theta=59.0_a=6.0_b=8.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.1,4.0,59.5,-29.896270676981658,-10.453946369234473,-2.247094484628178,1,Done,BTBT_theta=59.5_a=13.1_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.3,58.0,-40.1570882932283,-5.206293592462316,-7.4361252770759165,2,Done,BTBT_theta=58.0_a=6.0_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,8.6,59.5,-36.63946803659201,-4.548261506250128,-6.885736256022938,2,Done,BTBT_theta=59.5_a=6.3_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.8,8.4,58.5,-40.10595877934247,-5.42536988388747,-7.313804752891883,1,Done,BTBT_theta=58.5_a=5.8_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.2,59.0,-40.15190506121144,-4.988767251139507,-7.543592639733106,2,Done,BTBT_theta=59.0_a=6.1_b=8.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.1,60.5,-29.991752598434687,-10.4775658454746,-2.259155226871372,1,Done,BTBT_theta=60.5_a=12.9_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.8,8.1,58.0,-39.97567515261471,-5.497276254463941,-7.245280660921708,2,Done,BTBT_theta=58.0_a=5.8_b=8.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.1,4.1,59.5,-29.97104476904497,-10.408979002851993,-2.288271690835245,1,Done,BTBT_theta=59.5_a=13.1_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.3,59.5,-40.07932725409046,-5.1334396817255765,-7.453111972659826,2,Done,BTBT_theta=59.5_a=6.0_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
