a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.2,9.1,26.0,-27.70727734360844,-1.484588258434087,-6.184525206685066,1,Done,BTBT_theta=26.0_a=6.2_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.0,6.3,26.0,-38.92615212732926,-4.379605643218383,-7.541735210223123,1,Done,BTBT_theta=26.0_a=8.0_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.1,25.5,-27.82332904357463,-1.1911834080237895,-6.360240556881763,2,Done,BTBT_theta=25.5_a=6.4_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.3,26.0,-35.542517806869,-10.977747791446744,-3.3967555559938774,1,Done,BTBT_theta=26.0_a=3.9_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.6,6.5,25.5,-39.19619478099048,-4.123499986948445,-7.737298701773398,2,Done,BTBT_theta=25.5_a=7.6_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.3,25.5,-35.51007553841919,-10.99252565181814,-3.381256058695726,2,Done,BTBT_theta=25.5_a=3.9_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.2,25.5,-27.606361185666174,-1.1911834080237895,-6.305998592404649,2,Done,BTBT_theta=25.5_a=6.4_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.1,26.0,-27.889870203100145,-1.3418234584387392,-6.301555821555667,1,Done,BTBT_theta=26.0_a=6.3_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.2,26.0,-39.61744224280119,-4.409324516775087,-7.699698302312754,1,Done,BTBT_theta=26.0_a=7.7_b=6.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.3,25.5,-39.584761523641646,-4.313453539274633,-7.739463611273095,2,Done,BTBT_theta=25.5_a=7.7_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.3,26.0,-35.489267306402326,-10.804222451057283,-3.470205601071939,1,Done,BTBT_theta=26.0_a=4.0_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.3,25.5,-35.405846127774566,-10.785190072609112,-3.4588664956390858,2,Done,BTBT_theta=25.5_a=4.0_b=12.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.0,25.5,-27.86445604683832,-1.317055638646707,-6.307586192386225,2,Done,BTBT_theta=25.5_a=6.3_b=9.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.1,26.0,-27.91564831370488,-1.2138867194298657,-6.371968718711287,1,Done,BTBT_theta=26.0_a=6.4_b=9.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.3,26.0,-39.647914128843695,-4.379605643218383,-7.722175710601732,1,Done,BTBT_theta=26.0_a=7.7_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.3,25.5,-39.47135791555047,-4.313453539274633,-7.711112709250301,2,Done,BTBT_theta=25.5_a=7.8_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.2,25.5,-34.74269356066361,-10.845744787948206,-3.2628009961918,2,Done,BTBT_theta=25.5_a=3.8_b=12.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
